commuter_proportion,probability
0.0,0.0
0.02040816326530612,0.0
0.04081632653061224,0.0
0.061224489795918366,0.0
0.08163265306122448,0.0
0.1020408163265306,0.0
0.12244897959183673,0.0
0.14285714285714285,0.0
0.16326530612244897,0.0
0.18367346938775508,0.0
0.2040816326530612,0.0
0.22448979591836732,0.0
0.24489795918367346,0.0
0.26530612244897955,0.0
0.2857142857142857,0.0002935995302407516
0.3061224489795918,0.0005871990604815032
0.32653061224489793,0.0032295948326482677
0.3469387755102041,0.002935995302407516
0.36734693877551017,0.0035231943628890195
0.3877551020408163,0.005578391074574281
0.4081632653061224,0.009688784497944804
0.42857142857142855,0.013505578391074574
0.44897959183673464,0.0182031708749266
0.4693877551020408,0.028185554903112156
0.4897959183673469,0.03816793893129771
0.5102040816326531,0.04844392248972402
0.5306122448979591,0.06341749853200235
0.5510204081632653,0.08837345860246623
0.5714285714285714,0.11685261303581915
0.5918367346938775,0.13123899001761596
0.6122448979591836,0.11861421021726365
0.6326530612244897,0.11215502055196712
0.6530612244897959,0.08719906048150323
0.673469387755102,0.05960070463887258
0.6938775510204082,0.03141514973576042
0.7142857142857142,0.013211978860833822
0.7346938775510203,0.003816793893129771
0.7551020408163265,0.0017615971814445098
