Distance,No. of Commuters,Num Links
0,767201,9793
0.5,21107,322
1,175727,3869
10,64262,7089
100,759,492
101,734,501
102,716,479
103,601,448
104,724,468
105,557,387
106,598,429
107,539,424
108,570,411
109,656,442
11,58056,6634
110,609,427
111,658,458
112,559,413
113,616,417
114,533,372
115,529,398
116,531,362
117,543,350
118,468,343
119,448,323
12,53285,6386
120,384,280
121,384,265
122,405,302
123,358,282
124,317,244
125,316,263
126,351,265
127,359,281
128,312,240
129,347,266
13,44477,6147
130,369,272
131,382,285
132,361,260
133,326,262
134,374,274
135,345,253
136,340,269
137,301,222
138,283,225
139,317,232
14,38564,5834
140,286,228
141,271,211
142,277,229
143,251,192
144,251,177
145,208,163
146,227,181
147,209,180
148,236,184
149,190,159
15,33650,5460
150,202,163
151,171,150
152,190,161
153,184,158
154,152,124
155,180,157
156,225,174
157,205,173
158,231,183
159,203,173
16,33921,5216
160,218,161
161,222,185
162,195,170
163,206,176
164,210,160
165,223,167
166,222,171
167,233,180
168,209,179
169,236,186
17,30726,4877
170,222,185
171,235,187
172,255,213
173,291,223
174,299,227
175,303,223
176,256,216
177,301,243
178,289,228
179,303,233
18,24707,4599
180,272,207
181,255,206
182,271,214
183,311,227
184,260,208
185,245,199
186,293,224
187,264,208
188,280,206
189,250,188
19,24074,4544
190,299,200
191,311,212
192,287,185
193,228,177
194,197,149
195,190,156
196,181,140
197,192,150
198,159,127
199,149,129
2,154579,5359
20,23103,4393
200,202,143
201,182,143
202,137,127
203,216,150
204,202,148
205,234,173
206,211,148
207,185,143
208,223,170
209,236,186
21,20145,4153
210,203,161
211,196,166
212,241,182
213,232,179
214,145,119
215,163,142
216,226,165
217,224,187
218,222,163
219,222,178
22,19080,3895
220,238,186
221,189,159
222,215,160
223,159,130
224,139,115
225,147,110
226,133,101
227,136,117
228,121,92
229,148,92
23,16721,3830
230,115,92
231,119,86
232,94,76
233,90,66
234,79,64
235,71,58
236,72,60
237,81,68
238,87,65
239,71,60
24,14950,3683
240,55,47
241,52,45
242,54,48
243,59,54
244,65,55
245,51,48
246,91,78
247,49,36
248,49,43
249,68,54
25,14786,3562
250,47,43
251,40,35
252,56,49
253,52,43
254,54,47
255,56,49
256,62,55
257,48,41
258,64,55
259,42,37
26,13116,3487
260,60,42
261,66,54
262,109,64
263,41,39
264,64,50
265,31,28
266,33,29
267,43,30
268,31,25
269,37,34
27,12737,3254
270,34,28
271,31,26
272,32,31
273,36,32
274,22,21
275,15,14
276,29,27
277,24,20
278,14,12
279,22,21
28,11675,3237
280,21,20
281,26,24
282,13,11
283,9,8
284,14,14
285,16,15
286,13,11
287,13,12
288,12,12
289,14,13
29,11657,3245
290,10,9
291,8,8
292,18,14
293,13,10
294,14,12
295,7,7
296,11,9
297,10,10
298,7,7
299,8,6
3,124919,6390
30,11494,2975
300,7,7
301,6,6
302,9,8
303,11,9
304,9,7
305,6,6
306,1,1
307,6,6
308,4,4
309,7,6
31,10317,2959
310,10,8
311,5,4
312,2,2
313,3,3
314,4,4
315,2,2
316,3,3
317,4,4
318,3,3
319,3,3
32,9658,2727
320,5,5
321,3,3
322,2,2
323,4,4
324,3,3
325,1,1
326,2,2
327,3,3
328,2,2
329,4,4
33,9159,2841
330,5,5
332,1,1
334,5,4
335,2,1
336,3,3
337,1,1
338,1,1
34,7885,2600
341,4,3
342,1,1
343,1,1
344,1,1
345,2,1
346,2,2
347,1,1
348,2,2
349,4,3
35,7417,2600
350,1,1
351,3,3
353,2,2
354,2,2
355,1,1
356,1,1
357,2,2
358,1,1
359,1,1
36,6985,2546
361,1,1
362,1,1
363,1,1
366,4,4
369,1,1
37,6506,2495
370,1,1
373,1,1
376,2,1
377,2,2
38,6927,2463
383,2,2
385,1,1
386,1,1
387,1,1
39,5968,2313
390,1,1
391,1,1
396,1,1
4,138859,7599
40,6098,2257
407,1,1
41,6545,2301
42,6356,2222
43,5016,2029
44,4986,1952
45,4667,1980
46,4058,1871
47,3961,1792
48,3647,1649
49,2990,1628
5,148483,8313
50,3002,1541
51,2767,1446
52,2750,1496
53,2732,1390
54,2443,1407
55,2351,1318
56,2344,1274
57,2318,1294
58,2018,1168
59,2059,1122
6,122928,8095
60,1849,1107
61,1941,1089
62,1949,1051
63,1807,1063
64,1783,1062
65,1926,1057
66,1951,1056
67,1862,1066
68,1537,961
69,1731,985
7,97319,7632
70,1832,1005
71,1566,915
72,1596,954
73,1691,980
74,2036,1024
75,1763,964
76,1578,873
77,1365,787
78,1290,766
79,1021,668
8,87801,7514
80,1075,714
81,1075,725
82,990,643
83,1040,691
84,867,656
85,928,630
86,847,562
87,837,567
88,850,552
89,976,598
9,76552,7390
90,820,561
91,857,556
92,820,493
93,756,529
94,705,515
95,761,512
96,714,490
97,664,470
98,703,500
99,769,518
